key,press_time,event,flight_time,dwell_time,release_time
'h',1741485357.803127,press,,0.08279871940612793,
'h',,release,,,1741485357.8859258
'e',1741485357.950442,press,0.14731502532958984,0.06846880912780762,
'e',,release,,,1741485358.018911
'l',1741485358.0351639,press,0.08472180366516113,0.07996320724487305,
'l',,release,,,1741485358.115127
Key.backspace,1741485358.816395,press,0.781231164932251,0.0811159610748291,
Key.backspace,,release,,,1741485358.897511
Key.backspace,1741485358.9901922,press,0.1737971305847168,0.08058381080627441,
Key.backspace,,release,,,1741485359.070776
Key.backspace,1741485359.15235,press,0.16215777397155762,0.07634806632995605,
Key.backspace,,release,,,1741485359.228698
'h',1741485361.751979,press,2.5996291637420654,0.06743979454040527,
'h',,release,,,1741485361.819419
'e',1741485361.8428679,press,0.09088873863220215,0.0758671760559082,
'l',1741485361.915533,press,0.07266521453857422,0.06457710266113281,
'e',,release,,,1741485361.918735
'l',,release,,,1741485361.9801102
'l',1741485362.0663612,press,0.15082812309265137,0.06470775604248047,
'l',,release,,,1741485362.131069
'o',1741485362.223228,press,0.15686678886413574,0.10895895957946777,
'o',,release,,,1741485362.332187
Key.space,1741485362.3515992,press,0.1283712387084961,0.09203481674194336,
Key.space,,release,,,1741485362.443634
't',1741485362.465044,press,0.11344480514526367,0.08868288993835449,
'h',1741485362.546514,press,0.08147001266479492,0.11138296127319336,
't',,release,,,1741485362.553727
'i',1741485362.605658,press,0.059144020080566406,0.1149449348449707,
'h',,release,,,1741485362.657897
's',1741485362.701292,press,0.09563398361206055,0.06754517555236816,
'i',,release,,,1741485362.720603
's',,release,,,1741485362.7688372
Key.space,1741485362.772426,press,0.07113385200500488,0.07723808288574219,
Key.space,,release,,,1741485362.849664
'i',1741485362.908124,press,0.1356980800628662,0.10864996910095215,
'i',,release,,,1741485363.016774
's',1741485363.0201442,press,0.11202025413513184,0.06068873405456543,
's',,release,,,1741485363.080833
Key.space,1741485363.091923,press,0.07177877426147461,0.07732605934143066,
Key.space,,release,,,1741485363.169249
'n',1741485363.4218838,press,0.32996082305908203,0.14568614959716797,
'o',1741485363.53392,press,0.11203622817993164,0.10129880905151367,
'n',,release,,,1741485363.56757
't',1741485363.606036,press,0.07211589813232422,0.07666301727294922,
'o',,release,,,1741485363.6352189
't',,release,,,1741485363.682699
Key.space,1741485363.701822,press,0.09578609466552734,0.09825611114501953,
'o',1741485363.7995899,press,0.09776782989501953,0.13156914710998535,
Key.space,,release,,,1741485363.8000782
'k',1741485363.867201,press,0.0676112174987793,0.13401079177856445,
'o',,release,,,1741485363.931159
'a',1741485363.970439,press,0.10323786735534668,0.09311294555664062,
'k',,release,,,1741485364.001212
'a',,release,,,1741485364.063552
'y',1741485364.104053,press,0.13361406326293945,0.09326314926147461,
'y',,release,,,1741485364.1973162
Key.space,1741485364.2173471,press,0.11329412460327148,0.06125187873840332,
Key.space,,release,,,1741485364.278599
'w',1741485364.301622,press,0.0842747688293457,0.06704115867614746,
'h',1741485364.368489,press,0.06686711311340332,0.08214187622070312,
'w',,release,,,1741485364.368663
'h',,release,,,1741485364.450631
Key.backspace,1741485364.883424,press,0.5149350166320801,0.06440591812133789,
Key.backspace,,release,,,1741485364.94783
Key.backspace,1741485365.024647,press,0.14122295379638672,0.08104801177978516,
Key.backspace,,release,,,1741485365.105695
'i',1741485365.257087,press,0.23243999481201172,0.0728299617767334,
'i',,release,,,1741485365.329917
